Feature	CON1	CON2	CON4	CON5	CON3	CON6	CON24	CON25	CON26	CON27	CON28	CON29	CON30	CON31	CON32	CON33	CON34	CON35	CON36	CON37	CON7	CON8	CON9	CON10	CON11	CON12	CON13	CON14	CON15	CON16	CON17	CON18	CON19	CON43	CON44	CON45	CON38	CON39	CON40	CON41	CON42	CON46	CON47	CON20	CON21	CON22	CON23	MI33	MI32	MI38	MI36	MI34	MI35	MI37	MI27	MI28	MI29	MI31	MI17	MI21	MI20	MI24	MI23	MI26	MI19	MI18	MI15	MI25	MI22	MI14	MI16	MI2	MI1	MI12	MI4	MI11	MI13	MI3	MI8	MI5	MI9	MI7	MI10	MI6
0-14-0-20-30-16	0	0	0	0	0	0	0	0	0	0	0	0	36	66	186	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	33	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0
0-14-0-20-34-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0
1-14-0-10-31-34	69	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	48	0	33	0	0
21-14-0-10-32-9	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	39	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	60	0	36	90	0	0	0	0	0	0	0	0	321	0	0	0	57	0	0	0	0	0	135	54	0	0	99	0
40CM-2-53-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	69	0	0	39	0	0	0	0	0	0	0	0	0	0
AG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMARA-1	0	0	66	0	0	0	0	36	0	0	0	0	0	0	0	0	111	0	39	60	0	39	0	99	0	0	0	0	0	0	0	0	108	0	129	54	117	0	0	0	78	36	0	30	0	0	30	0	0	0	45	90	51	81	0	99	0	0	0	0	0	0	132	0	0	36	0	0	39	36	0	192	57	93	0	36	30	252	0	0	1047	0	0	105
ANME-1	30	0	117	39	0	0	0	0	0	0	84	0	0	36	0	42	0	0	0	0	0	42	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	0	0	0	0	0	0	0	0	0	72	0	102	108	0	0	135	0	0	168	84	135	0	0	0	78	0	51	0	48	0	0	0	60	60	123	36	0	0	0	0	51	0	48	69	0
ARK-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0
ARS1178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	54	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARS1403	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	42	0	0	45	0	0	33	0	0	0	0	0	0	0	0	78	0	0	0	60	0	0	0	0	0	0	0	0	0	39	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0
ARS21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0
ARS49	0	0	144	0	153	0	0	0	54	48	0	132	0	0	0	96	0	42	0	57	0	0	0	0	36	0	0	0	0	0	0	48	0	0	0	66	0	0	0	0	0	0	0	33	0	0	78	0	0	0	0	81	0	42	0	0	0	0	0	0	0	30	96	69	0	0	0	0	0	33	120	165	0	102	0	48	0	0	117	177	0	0	126	0
Acidilobaceae	63	0	0	0	0	0	39	33	0	39	0	0	147	0	0	0	0	0	0	0	0	48	114	0	0	0	0	0	30	0	0	0	234	0	0	0	0	0	0	0	63	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	186	0	111	0	0	0	0	0	138	0	75	0	0	0	0	0	0	0	0	0	207	57	0
Aciduliprofundaceae	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0
Aenigmatarchaeaceae	0	0	0	0	0	0	54	219	0	0	120	30	0	360	123	87	0	87	0	0	0	0	0	0	0	456	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	87	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Altiarchaeaceae	0	0	0	0	0	84	45	0	78	0	42	0	63	0	0	72	0	0	0	0	0	30	0	0	0	0	0	0	0	63	72	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	72	0	0	0	0	0	0	0	0	0	33	0	114	0	0	0	0	0	48	138	33	0	0	0	90
Anstonellaceae	0	0	0	0	0	0	0	0	57	0	0	0	0	0	51	0	771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	42	54	0	0	0	0	42	0	0	0	0	0	156	39	114	0	0	0	0	0	12462	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	45	0
Archaeoglobaceae	30	0	0	0	120	750	0	0	0	0	0	0	84	0	117	30	1287	105	0	0	0	45	0	0	0	0	0	582	0	0	0	0	0	192	0	0	0	192	102	60	48	424	60	0	0	0	162	0	0	495	45	54	323	129	132	0	45	0	36	162	2172	0	0	48	66	0	0	0	108	342	60	30	285	138	0	96	0	87	0	0	148	0	84	0
B10-G16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0
B15-G16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B15-G2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B18-G2	0	0	0	0	0	36	0	0	478	0	0	0	0	0	129	0	0	93	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	33	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B1Sed10-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B20-G17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B24	0	0	0	0	0	0	0	0	129	0	51	0	0	87	0	42	690	0	57	33	0	75	0	45	0	0	0	0	492	0	0	0	39	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	0	0	0	33	78	0	285	0	0	39	33	0	0	0	0	0	75	0	0	0	0	0	0
B25	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	51	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	57	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B26-1	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	54	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	192	0	0	0	60	0	135	0	0	0	42	0	180	0	450	117	0	0	0	0	0	0	0	33	0
B29-G15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	39	0	30	0	0	0	0	0	117	30	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0
B29-G17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B3-G16	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	45	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	240	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B3-WOES	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	129	0	0	54	0	0	75	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	90	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0
B33-G15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B48-G16	0	0	0	0	0	0	0	0	0	0	0	42	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	102	42	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B54-G15	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B69-G16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B72-G16	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B79-G9	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14139	0	0	0	0	0	0	0	0	0	0
B8-G13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0
B87-G9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0
B9-G17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BA1	0	0	0	0	0	0	333	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	45	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	60	0
BM511	0	48	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	63	30	0	0	0	126	0	0	0	48	33	0	0	0	0	0
BMS3B	0	0	0	0	0	0	0	396	0	0	339	0	66	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS150m-G63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Baldrarchaeaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bilamarchaeaceae	0	0	0	0	0	36	0	66	351	0	0	0	0	0	0	0	0	0	0	0	210	123	0	0	36	0	42	99	123	0	0	0	0	0	60	0	0	0	0	0	0	0	36	0	0	0	0	141	0	0	0	36	0	0	0	42	0	0	69	60	0	0	0	0	0	78	54	0	0	0	0	0	0	30	0	39	0	36	0	0	0	42	0	0
Bog-38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0
Borrarchaeaceae	0	0	0	0	0	0	126	0	126	39	0	0	105	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	60	39	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	30	42	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	81	0	0	0	0	0	0	0	69	0	0	0	0
CABMGC01	0	0	0	0	0	0	0	0	0	0	45	0	0	60	0	120	51	0	0	0	0	0	0	0	57	0	0	45	0	45	0	0	30	0	0	0	36	0	0	0	0	0	0	0	30	0	0	0	102	0	39	0	0	0	0	93	0	0	48	180	525	54	0	0	0	0	0	0	126	0	0	0	36	30	0	0	0	33	0	0	234	0	0	0
CADDZS01	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	78	0	48	0	0	0	0	39	0	0	0	0	0	0	0
CAILAH01	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAINOH01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAITNU01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	72	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAIVOO01	0	0	0	0	0	0	0	0	0	72	0	0	0	45	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	81	0	39	0	0	0	0	0	0	0	36	0	0	36	0	0	0	0	57	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0
CG-Epi1	0	0	0	63	0	0	0	0	33	39	36	0	33	123	0	30	0	87	0	63	0	0	0	54	0	84	39	60	99	87	0	36	0	0	69	0	0	0	57	0	0	0	33	0	0	0	153	0	30	45	36	0	39	0	0	111	48	0	0	75	0	0	234	219	0	135	0	0	90	126	0	0	66	935	0	0	0	0	121	0	33	0	0	0
CG08-08-20-14	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG1-02-33-12	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	108	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	30	0	0	48	0	0	36	0	33	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	186	0	0	0	0	30	0	0	0	0	0	0	0	0
CG1-02-47-40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10238-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	30	0	0	192	204	0	0	48	36	0	30	0	282	0	0	0	0	0	0	0	0	81	0	0	0	63	0	54	0	0	0	0	0	0	90	0	0	0	0	0	0	315	0	0	51	0	0	261	0	0	0	0	0	0	0	0	45	0
CR-4	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSSED10-239	0	0	0	0	0	0	0	0	0	858	87	0	0	0	0	426	0	0	0	0	30	0	0	42	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	447	0	0	42	0	0	0	42	54	0	318	0	0	66	0	144	0	0	0	0	30	0	0	0	39	0	0	0	0
CSSed11-243R1	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	33	0	0
Caldarchaeaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	30	0	0	0	0	0	0
DHVEG-1	75	0	138	51	0	66	84	109	0	217	348	141	0	174	75	114	87	42	159	0	207	0	33	213	0	0	0	42	63	82	99	63	0	237	0	0	0	0	0	0	39	0	492	237	36	36	102	66	0	0	96	0	0	0	0	99	30	63	0	36	30	336	99	291	0	42	0	174	0	117	0	51	0	318	66	300	0	78	36	237	33	196	184	624
DSVV01	0	0	36	123	36	39	0	0	0	0	0	0	0	129	0	153	0	0	0	0	0	72	39	0	0	0	42	0	0	93	0	144	0	36	0	54	0	0	0	57	45	0	0	0	0	66	0	0	60	0	0	0	0	0	0	51	81	0	0	0	0	48	36	0	0	0	0	84	0	0	114	42	0	0	36	108	30	0	0	0	0	84	0	0
DSZF01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DTDX01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	48	0	0	0	0	0	141	0	0	0	0	0	0	0	0	90	0	0	0	0	162	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DTGE01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DTGL01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DTIR01	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DTMW01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0
DTNL01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DTNV01	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DXJG01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfurococcaceae	0	0	0	0	33	0	36	39	186	33	33	0	0	0	0	0	33	0	144	0	0	0	0	0	0	0	184	84	99	0	414	0	0	0	33	0	0	33	42	0	0	0	0	0	0	0	0	0	105	0	0	0	168	0	0	42	36	0	87	0	0	39	39	0	0	168	0	261	0	87	0	198	54	0	0	33	0	0	30	0	0	39	0	0
EA-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
